host=pax008 gpu=NVIDIA H200
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['wide', 'deep', 'huge', 'glob', 'wd'] steps=120000
  whitening round-trip 6.759e-15   q == L^T h deviation 9.358e-16
  span LS floor: train 4.1422e-04  fresh test 2.1236e-04  (S=16384, R=512, K_ckpt=16)
   hfit[wd]   45000/120000 loss 7.5022e-05 recon 7.9773e-03 [84s]
   hfit[wd]   50000/120000 loss 3.7875e-05 recon 5.8586e-03 [93s]
   hfit[wd]   55000/120000 loss 4.3464e-05 recon 6.1214e-03 [102s]
   hfit[wd]   60000/120000 loss 4.1336e-05 recon 6.0205e-03 [112s]
   hfit[wd]   65000/120000 loss 2.9952e-05 recon 5.1049e-03 [121s]
   hfit[wd]   70000/120000 loss 2.0055e-05 recon 4.2959e-03 [130s]
   hfit[wd]   75000/120000 loss 1.8145e-05 recon 4.1847e-03 [139s]
   hfit[wd]   80000/120000 loss 1.4335e-05 recon 3.7563e-03 [149s]
   hfit[wd]   85000/120000 loss 1.0335e-05 recon 3.2236e-03 [158s]
   hfit[wd]   90000/120000 loss 8.4392e-06 recon 2.8959e-03 [167s]
   hfit[wd]   95000/120000 loss 6.9505e-06 recon 2.6953e-03 [176s]
   hfit[wd]  100000/120000 loss 5.8687e-06 recon 2.4424e-03 [185s]
   hfit[wd]  105000/120000 loss 5.2977e-06 recon 2.3313e-03 [195s]
   hfit[wd]  110000/120000 loss 4.8828e-06 recon 2.2422e-03 [204s]
   hfit[wd]  115000/120000 loss 4.6855e-06 recon 2.1939e-03 [213s]
   hfit[wd]  120000/120000 loss 4.5700e-06 recon 2.1671e-03 [222s]
  ARM wd: recon 2.1671e-03  oracle 6.3533e-03  oracle/floor 29.9x  oracle_nn 6.3423e-03  code-refit gain 1.081x
HFIT done in 1849s -> /cluster/tufts/paralab/tawal01/burgacc/hf2/out/hfit_hf2.json
ALL-DONE
