problem,phase,intervals,method,gpu_ms,host_ms,worst_error,error_norm,target,qualified,solver_converged,stationarity_status,stalled_initial_fits,stalled_steps,gpu_outliers,host_outliers,invocations,job_id
Reflective waves,original comparison,256,cg_1e-06,135.46218047849834,,0.003533874161276299,current-relative displacement L2; gate checks all three wave components,0.05,True,True,see native solver audit,0,0,0,,6,3534457
Reflective waves,original comparison,256,cg_0.01,98.62901747692376,,0.1810739876290988,current-relative displacement L2; gate checks all three wave components,0.05,False,True,see native solver audit,0,0,0,,6,3534457
Reflective waves,original comparison,1024,frozen_mlp32_seed691200,4532.594208954833,,0.03568421725882041,current-relative displacement L2; gate checks all three wave components,0.05,False,True,see native solver audit,0,0,0,,6,3534457
Reflective waves,original comparison,1024,dst,16.624295501969755,,0.0,current-relative displacement L2; gate checks all three wave components,0.05,True,True,see native solver audit,0,0,0,,6,3534457
Reflective waves,original comparison,1024,cg_1e-06,1053.3427144400775,,0.00353176376635732,current-relative displacement L2; gate checks all three wave components,0.05,True,True,see native solver audit,0,0,0,,6,3534457
Reflective waves,original comparison,1024,cg_0.01,758.1938673974946,,0.17107706282139845,current-relative displacement L2; gate checks all three wave components,0.05,False,True,see native solver audit,0,0,0,,6,3534457
Poisson 2D tuning,screen,64,budget_1,1.7856149934232235,2.695656497962773,0.300699262710687,current-relative solution L2,0.05,False,False,0/90 stationary,,,2,1,90,3548866
Poisson 2D tuning,screen,64,budget_3,2.0908848382532597,3.0797739746049047,0.06806393678565231,current-relative solution L2,0.05,False,False,0/90 stationary,,,0,0,90,3548866
Poisson 2D tuning,screen,64,budget_8,2.7263954980298877,3.6746285622939467,0.06802556937227565,current-relative solution L2,0.05,False,False,87/90 stationary,,,0,0,90,3548866
Poisson 2D tuning,screen,64,cg_1e-01,3.055769484490156,3.9596285205334425,0.08816888062280737,current-relative solution L2,0.05,False,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,screen,64,cg_1e-02,3.784458967857063,4.682561499066651,0.004030522952679789,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,screen,64,cg_1e-04,5.103471456095576,5.999710992909968,0.002573000966782946,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,screen,64,cg_1e-06,5.970069556497037,6.840709480457008,0.0025721658257001046,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,screen,64,cg_3e-02,3.4003229811787605,4.330652998760343,0.011347920341766318,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,screen,64,dst,0.13907859101891518,1.712488941848278,0.002572172851689943,current-relative solution L2,0.05,True,True,not applicable,,,5,0,90,3548866
Poisson 2D tuning,screen,64,multistart4_M1024,6.719828932546079,7.696207030676305,0.0680247360249142,current-relative solution L2,0.05,False,True,90/90 stationary,,,0,0,90,3548866
Poisson 2D tuning,screen,64,multistart4_M256,6.4210385316982865,7.439989480189979,0.06802558226391778,current-relative solution L2,0.05,False,True,90/90 stationary,,,0,0,90,3548866
Poisson 2D tuning,screen,64,nmrom_baseline,2.7598239248618484,3.738324041478336,0.06802558226391779,current-relative solution L2,0.05,False,True,90/90 stationary,,,1,1,90,3548866
Poisson 2D tuning,screen,64,residual_tau_0.2,1.9678991520777345,2.976566436700523,0.06802558226391779,current-relative solution L2,0.05,False,True,18/90 stationary,,,1,0,90,3548866
Poisson 2D tuning,screen,64,residual_tau_0.5,1.8251134315505624,2.8017680160701275,0.12902515340301682,current-relative solution L2,0.05,False,True,0/90 stationary,,,1,0,90,3548866
Poisson 2D tuning,screen,64,stationarity_1e-02,2.0692889811471105,3.0706815887242556,0.06806393678565231,current-relative solution L2,0.05,False,False,0/90 stationary,,,1,1,90,3548866
Poisson 2D tuning,screen,64,stationarity_1e-03,2.1431725472211838,3.0783938709646463,0.06802663251150329,current-relative solution L2,0.05,False,False,0/90 stationary,,,1,0,90,3548866
Poisson 2D tuning,screen,64,stationarity_1e-04,2.2753054508939385,3.2105884747579694,0.06802545790832379,current-relative solution L2,0.05,False,False,0/90 stationary,,,1,0,90,3548866
