jax_backend=gpu

### k=12 src=9  ceiling 2.973e-03  ROM 1.962e-01  obj0 4.3163e-02 -> 9.1232e-03 (red 2.11e-01)  obj@ceil 1.0176e-04  iters 60 acc 38 reason 0  |z0-zceil| 0.314 |zfin-zceil| 3.552
   it   lam       ||r||       ||r_new||   acc  ||dz||    ||z||   cond(J)   ||g||
    25 2.58e-08 9.7081e-03 1.0361e-02 .  6.626e-01 3.269 7.959e+01 1.224e-04
    26 2.58e-07 9.7081e-03 1.0361e-02 .  6.625e-01 3.269 7.959e+01 1.224e-04
    27 2.58e-06 9.7081e-03 1.0358e-02 .  6.619e-01 3.269 7.959e+01 1.224e-04
    28 2.58e-05 9.7081e-03 1.0336e-02 .  6.563e-01 3.269 7.959e+01 1.224e-04
    29 2.58e-04 9.7081e-03 1.0152e-02 .  6.072e-01 3.269 7.959e+01 1.224e-04
    30 2.58e-03 9.7081e-03 9.6439e-03 A  3.885e-01 3.269 7.959e+01 1.224e-04
    31 8.60e-04 9.6439e-03 9.3823e-03 A  4.661e-01 3.470 8.521e+01 3.594e-04
    32 2.87e-04 9.3823e-03 9.5740e-03 .  3.880e-01 3.587 9.673e+01 1.733e-04
    33 2.87e-03 9.3823e-03 9.3489e-03 A  2.282e-01 3.587 9.673e+01 1.733e-04
    34 9.56e-04 9.3489e-03 9.2207e-03 A  2.500e-01 3.618 1.039e+02 3.332e-04
    35 3.19e-04 9.2207e-03 9.5022e-03 .  4.966e-01 3.686 1.137e+02 8.376e-05
    36 3.19e-03 9.2207e-03 9.1661e-03 A  1.759e-01 3.686 1.137e+02 8.376e-05
    37 1.06e-03 9.1661e-03 9.1795e-03 .  1.531e-01 3.659 1.118e+02 5.460e-05
    38 1.06e-02 9.1661e-03 9.1341e-03 A  6.404e-02 3.659 1.118e+02 5.460e-05
    39 3.54e-03 9.1341e-03 9.1281e-03 A  4.420e-02 3.655 1.159e+02 3.173e-05
    40 1.18e-03 9.1281e-03 9.1282e-03 .  4.688e-02 3.648 1.152e+02 1.554e-05
    41 1.18e-02 9.1281e-03 9.1251e-03 A  1.755e-02 3.648 1.152e+02 1.554e-05
    42 3.93e-03 9.1251e-03 9.1242e-03 A  1.296e-02 3.649 1.168e+02 9.179e-06
    43 1.31e-03 9.1242e-03 9.1237e-03 A  1.553e-02 3.650 1.168e+02 3.458e-06
    44 4.37e-04 9.1237e-03 9.1245e-03 .  3.142e-02 3.653 1.174e+02 4.313e-06
    45 4.37e-03 9.1237e-03 9.1235e-03 A  9.392e-03 3.653 1.174e+02 4.313e-06
    46 1.46e-03 9.1235e-03 9.1234e-03 A  6.957e-03 3.652 1.172e+02 2.330e-06
    47 4.86e-04 9.1234e-03 9.1236e-03 .  1.765e-02 3.652 1.175e+02 2.381e-06
    48 4.86e-03 9.1234e-03 9.1233e-03 A  5.007e-03 3.652 1.175e+02 2.381e-06
    49 1.62e-03 9.1233e-03 9.1233e-03 A  3.394e-03 3.651 1.174e+02 1.276e-06
    50 5.40e-04 9.1233e-03 9.1233e-03 .  8.814e-03 3.651 1.177e+02 1.250e-06
    51 5.40e-03 9.1233e-03 9.1232e-03 A  2.393e-03 3.651 1.177e+02 1.250e-06
    52 1.80e-03 9.1232e-03 9.1232e-03 A  1.830e-03 3.651 1.176e+02 6.030e-07
    53 6.00e-04 9.1232e-03 9.1232e-03 .  4.059e-03 3.651 1.178e+02 6.072e-07
    54 6.00e-03 9.1232e-03 9.1232e-03 A  1.069e-03 3.651 1.178e+02 6.072e-07
    55 2.00e-03 9.1232e-03 9.1232e-03 A  1.153e-03 3.651 1.178e+02 2.343e-07
    56 6.66e-04 9.1232e-03 9.1232e-03 A  1.925e-03 3.651 1.178e+02 2.824e-07
    57 2.22e-04 9.1232e-03 9.1232e-03 .  2.766e-03 3.650 1.179e+02 2.064e-07
    58 2.22e-03 9.1232e-03 9.1232e-03 A  1.144e-03 3.650 1.179e+02 2.064e-07
    59 7.40e-04 9.1232e-03 9.1232e-03 .  1.723e-03 3.650 1.179e+02 2.883e-07
   slice t: obj / err
   -0.30:5.755e-02/1.17e+00  -0.15:5.010e-02/1.01e+00  +0.00:4.316e-02/8.75e-01  +0.15:3.672e-02/7.44e-01  +0.30:3.055e-02/6.20e-01  +0.45:2.421e-02/4.94e-01  +0.60:1.742e-02/3.59e-01  +0.75:1.048e-02/2.18e-01  +0.90:3.923e-03/8.22e-02  +1.05:1.798e-03/3.78e-02  +1.20:6.535e-03/1.37e-01  +1.35:1.043e-02/2.18e-01  +1.50:1.367e-02/2.84e-01

### k=12 src=14  ceiling 9.401e-03  ROM 2.338e-01  obj0 5.9291e-02 -> 2.7019e-03 (red 4.56e-02)  obj@ceil 9.8506e-05  iters 60 acc 39 reason 0  |z0-zceil| 0.711 |zfin-zceil| 2.273
   it   lam       ||r||       ||r_new||   acc  ||dz||    ||z||   cond(J)   ||g||
     0 1.00e-06 5.9291e-02 4.4969e+00 .  8.814e+00 0.209 7.061e+02 1.525e-02
     1 1.00e-05 5.9291e-02 1.5372e+00 .  6.867e+00 0.209 7.061e+02 1.525e-02
     2 1.00e-04 5.9291e-02 3.9380e-02 A  2.666e+00 0.209 7.061e+02 1.525e-02
     3 3.33e-05 3.9380e-02 1.3254e-02 A  1.073e+00 2.669 9.803e+01 6.108e-03
     4 1.11e-05 1.3254e-02 1.0054e-02 A  1.669e+00 2.215 1.057e+02 6.684e-04
     5 3.70e-06 1.0054e-02 2.8011e-01 .  4.806e+00 2.346 8.105e+01 2.601e-04
     6 3.70e-05 1.0054e-02 2.4549e-01 .  4.660e+00 2.346 8.105e+01 2.601e-04
     7 3.70e-04 1.0054e-02 7.7643e-02 .  3.591e+00 2.346 8.105e+01 2.601e-04
     8 3.70e-03 1.0054e-02 1.1186e-02 .  1.218e+00 2.346 8.105e+01 2.601e-04
     9 3.70e-02 1.0054e-02 8.5735e-03 A  3.002e-01 2.346 8.105e+01 2.601e-04
    10 1.23e-02 8.5735e-03 7.3830e-03 A  6.488e-01 2.359 7.581e+01 6.355e-05
    11 4.12e-03 7.3830e-03 5.2938e-03 A  1.081e+00 2.227 1.117e+02 5.957e-05
    12 1.37e-03 5.2938e-03 4.1859e-03 A  8.793e-01 2.195 9.838e+01 1.490e-04
    13 4.57e-04 4.1859e-03 5.8698e-03 .  8.867e-01 2.344 1.144e+02 8.374e-05
    14 4.57e-03 4.1859e-03 3.5550e-03 A  5.203e-01 2.344 1.144e+02 8.374e-05
    15 1.52e-03 3.5550e-03 3.0692e-03 A  5.443e-01 2.316 1.307e+02 1.141e-04
    16 5.08e-04 3.0692e-03 2.8541e-03 A  3.249e-01 2.100 1.560e+02 1.211e-04
    17 1.69e-04 2.8541e-03 2.8437e-03 A  3.716e-01 1.965 2.128e+02 1.152e-05
    18 5.65e-05 2.8437e-03 3.3715e-03 .  7.016e-01 2.072 2.029e+02 6.561e-05
    19 5.65e-04 2.8437e-03 2.8182e-03 A  3.403e-01 2.072 2.029e+02 6.561e-05
    20 1.88e-04 2.8182e-03 2.7990e-03 A  4.075e-01 1.953 2.076e+02 2.935e-05
    21 6.27e-05 2.7990e-03 2.9440e-03 .  5.201e-01 2.140 1.975e+02 4.710e-05
    22 6.27e-04 2.7990e-03 2.7410e-03 A  2.548e-01 2.140 1.975e+02 4.710e-05
    23 2.09e-04 2.7410e-03 2.7205e-03 A  1.550e-01 2.018 2.053e+02 2.686e-05
    24 6.97e-05 2.7205e-03 2.7320e-03 .  2.297e-01 2.100 2.075e+02 8.908e-06
    25 6.97e-04 2.7205e-03 2.7089e-03 A  1.101e-01 2.100 2.075e+02 8.908e-06
    26 2.32e-04 2.7089e-03 2.7056e-03 A  6.162e-02 2.045 2.107e+02 9.876e-06
